Extraction RTT par séquence flux 2 ...
1183 94.96 5.195
1186 94.96 5.361
1191 86.64 5.535
1197 78.32 5.710
1204 78.32 5.876
1213 70.00 6.050
1224 61.68 6.224
1237 53.36 6.398
1251 45.04 6.572
1266 45.04 6.738
1283 42.08 6.958
1302 33.76 7.132
1312 35.92 7.205
1323 43.76 7.288
1333 35.92 7.370
1335 35.92 7.379
1346 35.44 7.462
1356 35.92 7.536
1358 35.92 7.545
1360 35.92 7.553
1371 27.12 7.636
1381 35.92 7.702
1383 35.92 7.711
1385 35.92 7.719
1387 35.92 7.727
1397 27.12 7.802
1399 27.12 7.810
1408 35.92 7.868
1410 35.92 7.877
1412 35.92 7.885
1414 35.92 7.893
1416 35.92 7.902
1425 27.12 7.968
1427 27.12 7.976
1429 27.12 7.985
1437 35.92 8.034
1439 35.92 8.042
1441 35.92 8.051
1443 35.92 8.059
1445 35.92 8.067
1447 35.92 8.076
1455 27.12 8.134
1457 27.12 8.142
1459 27.12 8.151
1461 27.12 8.159
1468 35.92 8.200
1470 35.92 8.208
1472 35.92 8.217
1474 35.92 8.225
1476 35.92 8.233
1478 35.92 8.242
1480 35.92 8.250
1486 35.44 8.292
1488 35.44 8.300
1491 27.12 8.317
1493 27.12 8.325
1495 27.12 8.333
1501 35.92 8.366
1503 35.92 8.374
1505 35.92 8.383
1507 35.92 8.391
1509 35.92 8.399
1511 35.92 8.408
1513 35.92 8.416
1515 35.92 8.424
1520 35.44 8.458
1522 35.44 8.466
1524 35.44 8.474
1527 27.12 8.491
1529 27.12 8.499
1531 27.12 8.507
1536 35.92 8.532
1538 35.92 8.540
1540 35.92 8.549
1542 35.92 8.557
1544 35.92 8.565
1546 35.92 8.574
1548 35.92 8.582
1550 35.92 8.590
1552 35.92 8.598
1556 35.44 8.623
1558 35.44 8.632
1560 35.44 8.640
1562 35.44 8.648
1564 35.44 8.657
1567 27.12 8.673
1569 27.12 8.682
1573 35.92 8.698
1575 35.92 8.706
1577 35.92 8.714
1579 35.92 8.723
1581 35.92 8.731
1583 35.92 8.739
1585 35.92 8.748
1587 35.92 8.756
1589 35.92 8.764
1591 35.92 8.773
1594 35.44 8.789
1596 35.44 8.798
1598 35.44 8.806
1600 35.44 8.814
1602 35.44 8.823
1604 35.44 8.831
1607 27.12 8.848
1609 27.12 8.856
1612 35.44 8.864
1614 35.44 8.873
1616 35.44 8.881
1618 35.44 8.889
1620 35.44 8.898
1622 35.44 8.906
1624 35.44 8.914
1626 35.44 8.922
1628 35.44 8.931
1630 35.44 8.939
1632 35.44 8.947
1634 35.44 8.956
1636 35.44 8.964
1638 35.44 8.972
1640 35.44 8.981
1642 35.44 8.989
1644 35.44 8.997
1646 35.44 9.006
1648 35.44 9.014
1650 35.44 9.022
1652 35.44 9.031
1654 35.44 9.039
1656 35.44 9.047
1658 35.44 9.056
1660 35.44 9.064
1662 35.44 9.072
1664 35.44 9.081
1666 35.44 9.089
1668 35.44 9.097
1670 35.44 9.106
1672 35.44 9.114
1674 35.44 9.122
1676 35.44 9.130
1678 35.44 9.139
1680 35.44 9.147
1682 35.44 9.155
1684 35.44 9.164
1686 35.44 9.172
1688 35.44 9.180
1690 35.44 9.189
1692 35.44 9.197
1694 35.44 9.205
1696 35.44 9.214
1698 35.44 9.222
1700 35.44 9.230
1702 35.44 9.239
1704 35.44 9.247
1706 35.44 9.255
1708 35.44 9.264
1710 35.44 9.272
1712 35.44 9.280
1714 35.44 9.289
1716 35.44 9.297
1718 35.44 9.305
1720 35.44 9.314
1722 35.44 9.322
1724 35.44 9.330
1726 35.44 9.338
1728 35.44 9.347
1730 35.44 9.355
1732 35.44 9.363
1734 35.44 9.372
1736 35.44 9.380
1738 35.44 9.388
1740 35.44 9.397
1742 35.44 9.405
1744 35.44 9.413
1746 35.44 9.422
1748 35.44 9.430
1750 35.44 9.438
1752 35.44 9.447
1754 35.44 9.455
1756 35.44 9.463
1758 35.44 9.472
1760 35.44 9.480
1762 35.44 9.488
1764 35.44 9.497
1766 35.44 9.505
1768 35.44 9.513
1770 35.44 9.522
1772 35.44 9.530
1774 35.44 9.538
1776 35.44 9.546
1778 35.44 9.555
1780 35.44 9.563
1782 35.44 9.571
1784 35.44 9.580
1786 35.44 9.588
1788 35.44 9.596
1790 35.44 9.605
1792 35.44 9.613
1794 35.44 9.621
1796 35.44 9.630
1798 35.44 9.638
1800 35.44 9.646
1802 35.44 9.655
1804 35.44 9.663
1806 35.44 9.671
1808 35.44 9.680
1810 35.44 9.688
1812 35.44 9.696
1814 35.44 9.705
1816 35.44 9.713
1818 35.44 9.721
1820 35.44 9.730
1822 35.44 9.738
1824 35.44 9.746
1826 35.44 9.754
1828 35.44 9.763
1830 35.44 9.771
1832 35.44 9.779
1834 35.44 9.788
1836 35.44 9.796
1838 35.44 9.804
1840 35.44 9.813
1842 35.44 9.821
1844 35.44 9.829
1846 35.44 9.838
1848 35.44 9.846
1850 35.44 9.854
1852 35.44 9.863
1854 35.44 9.871
1856 35.44 9.879
1858 35.44 9.888
1860 35.44 9.896
1862 35.44 9.904
1864 35.44 9.913
1866 35.44 9.921
1868 35.44 9.929
1870 35.44 9.938
1872 35.44 9.946
1874 35.44 9.954
1876 35.44 9.962
1878 35.44 9.971
1880 35.44 9.979
1882 35.44 9.987
1884 35.44 9.996
1886 35.44 10.004
1888 35.44 10.012
